Title,Author,State,District,Date,Ban Status,lat,lon,year
Openly Straight (Openly Straight Series),"Konigsberg, Bill",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Bridge,"Konigsberg, Bill",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Bridge,"Konigsberg, Bill",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Music of What Happens,"Konigsberg, Bill",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
The Music of What Happens,"Konigsberg, Bill",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
The Music of What Happens,"Konigsberg, Bill",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
The Music of What Happens,"Konigsberg, Bill",Texas,Prosper Independent School District,2022-03-01,Banned in Libraries and Classrooms,31.054487,-97.563461,2022.0
The Porcupine of Truth,"Konigsberg, Bill",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
"Iguales, pero diferentes (Same, Same But Different)","Kostecki-Shaw, Jenny Sue",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
"Same, Same But Different","Kostecki-Shaw, Jenny Sue",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Harvesting Hope: The Story of Cesar Chavez,"Krull, Kathleen",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Sonia Sotomayor (Women Who Broke the Rules Series),"Krull, Kathleen",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Starstruck: The Cosmic Journey of Neil Degrasse Tyson,"Krull, Kathleen",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
What Was the March on Washington? (What was...? Series),"Krull, Kathleen",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Hank's Big Day: The Story of a Bug,"Kuhlman, Evan",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Arkansas,Siloam Springs School District,2022-01-01,Banned in Libraries and Classrooms,34.969704,-92.373123,2022.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Georgia,Cherokee County School District,2022-02-01,Banned in Libraries and Classrooms,33.040619,-83.643074,2022.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",New York,Yorktown Central School District,2022-01-01,Banned Pending Investigation,42.165726,-74.948051,2022.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Texas,Birdville Independent School District,2021-10-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Texas,Fredericksburg Independent School District,2022-03-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Texas,Klein Independent School District,2021-11-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
